City,mean,median
Amsterdam,369.8031996882926,368.6171583905514
Athens,145.68022180448548,127.71541724275303
Barcelona,235.0019305696967,196.895291735518
Berlin,214.7636422055033,185.5660465551089
Budapest,168.0588282390474,152.27710673497205
Lisbon,232.38501151310206,223.26454033771105
Paris,309.63188246755357,289.8685804828036
Rome,198.35216730605046,182.1242372524724
Vienna,223.81361155890704,206.624126405348
